row_label,col_1,col_2
TABLE,TABLE,PAGE
15C.,Geographic Distribution of Decertification Elections Held in Cases Closed...................................................................................171,
16.,Industrial Distribution of Representation Elections Held in Cases Closed...................................................................................174,
17.,Size of Units in Representation Elections in Cases Closed...................180,
18.,"Distribution of Unfair Labor Practice Situations Received, by Number of Employees in Establishments.......................................182",
19.,"Litigation for Enforcement and/or Review of Board Orders, Fiscal Year 2003; and Cumulative Totals, Fiscal Years 1936 through 2003...................................................................................183",
19A.,"Proceedings Decided by Circuit Courts of Appeals on Petitions for Enforcement and/or Review of Board Orders, Fiscal Year 2003, Compared With 5-Year Cumulative Totals, Fiscal Years 1998 through 2002................................................................184",
20.,"Injunction Litigation Under Sections 10(e), 10(j), and 10(l)",................185
21.,Special Litigation Involving NLRB; Outcome of Proceedings in Which Court Decisions Issued in Fiscal Year 2003........................186,
22.,"Advisory Opinion Cases Received, Closed, and Pending.....................188",
22A.,Disposition of Advisory Opinion Cases................................................188,
23.,"Time Elapsed for Major Case Processing Stages Completed, Fiscal Year 2003; and Age of Cases Pending Decision, September 30, 2003 ........................................................................189",
24.,NLRB Activity Under the Equal Access to Justice Act........................189,
