Item,Value
I. Applications for fees and expenses filed with the NLRB under 5 U.S.C. Section 504:,
A. Number of applications filed,8
B. Decisions in EAJA cases ruled on (includes ALJ awards adopted by the Board and settlements):,
Granting fees,1
Denying fees,7
"C. Amount of fees and expenses in cases listed in B, above:",
Claimed,177433.47
Recovered,11318.98
II. Petitions for review of Board Orders denying fees under 5 U.S.C. Section 504:,
A. Awards granting fees (includes settlements),0
B. Awards denying fees,1
C. Amount of fees and expenses recovered pursuant to court award or settlement (includes fees recovered in cases in which court finds merit to claim but remands to Board for determination of fee amount),0
III. Applications for fees and expenses before the circuit courts of appeals under 5 U.S.C. Section 2412:,
A. Awards granting fees (includes settlements),0
B. Awards denying fees,0
C. Amount of fees and expenses recovered,0
IV. Applications for fees and expenses before the district courts under 5 U.S.C. Section 2412:,
A. Awards granting fees (includes settlements),0
B. Awards denying fees,0
C. Amount of fees and expenses recovered,0.00
